time,opening_price,closing_price,high,low,volume,opening_price_log_return,closing_price_log_return,high_log_return,low_log_return
1700323200000,1953.5217746960159,1965.3994203360671,1953.4364457154556,1964.8336090226405,240989747.76530653,,,,
1700326800000,1964.851236177373,1970.9314917695342,1961.3992293485776,1966.122940990062,239821497.39954564,0.005782753720261147,0.0028107774468945556,0.00406800963063833,0.0006559889417515513
1700330400000,1966.1678460656335,1970.5461847581744,1959.6575082130094,1968.6482043528802,135463574.37683678,0.00066985680300502,-0.00019551398952820544,-0.0008883938013122745,0.0012835631940178863
1700334000000,1968.5678572050224,1971.1833907781856,1963.0579589941437,1964.7850111261614,93236082.29019703,0.0012199098582561655,0.00032331290787497385,0.0017337233155533753,-0.001964286289986145
1700337600000,1964.9541075919929,1967.6617574322966,1961.3677518220572,1964.9185025630852,78783248.00191227,-0.0018374122031421763,-0.0017881557419731802,-0.0008613781486220399,6.793969901818126e-05
1700341200000,1964.8003831428077,1965.6338703726844,1960.2548950797982,1961.1825588775537,66584168.043760285,-7.823615934586855e-05,-0.0010311389893785862,-0.0005675491358202774,-0.0019031322702455662
1700344800000,1961.044560291377,1962.4250170028026,1951.984885548812,1958.1050977107184,86852002.32765652,-0.0019133837690471272,-0.001633811597880261,-0.004227768395039792,-0.0015704189480124395
1700348400000,1958.2648310085635,1964.329510015216,1958.052882167071,1963.4850494021125,84047179.34573303,-0.0014184793653040627,0.0009700087686360389,0.003103807098620357,0.0027437620274932423
1700352000000,1963.5582733926237,1963.5959324548433,1953.580401395475,1953.580401395475,86614815.00743124,0.0026994820815105024,-0.0003735190902403696,-0.0022867597222746066,-0.005057188469506364
1700355600000,1953.5968829906506,1955.3942046177476,1945.9036242739105,1951.8329867445148,124093728.10227045,-0.005086044069017318,-0.0041856394246771785,-0.003937334779951003,-0.0008948680172377945
1700359200000,1952.1314536732798,1953.2748089286804,1944.9013943481823,1949.445442751869,98452052.62094562,-0.0007504000584882939,-0.0010844591288911485,-0.0005151787062564767,-0.0012239804637704014
1700362800000,1949.500798609846,1957.3165011371473,1945.7535534289234,1957.0251062650968,230478117.4954064,-0.0013484897048058068,0.002067049879203785,0.0004380543151764082,0.0038805734894811457
1700366400000,1957.1108990302093,1958.9544515176697,1953.9807636298578,1957.7751366815558,76915414.71188411,0.0038960155938002677,0.0008364847559483462,0.004219375853777928,0.00038317685659048983
1700370000000,1957.8573666894667,1963.034645308283,1957.4996864066957,1958.0730893924274,76789618.99036029,0.000381340341805452,0.002080676494444233,0.0017992797208809808,0.00015217786504740456
1700373600000,1958.167737956427,1966.9820697544158,1957.2593606785304,1963.3900630467974,95041172.30281101,0.00015851342078577045,0.002008859534105718,-0.00012277932080965933,0.002711731160474339
1700377200000,1963.2913413359968,1965.9306008373812,1962.1434768325498,1962.7367219452246,65942926.424509645,0.0026131122071921514,-0.0005347024102256835,0.0024922769537201106,-0.00033281712149534564
